Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
EVA DEO SPRAY DOLL Mini 40ML,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVA DEO SPRAY FLIRT 125ML,15.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,6.0,9.0,0
EVA DEO SPRAY FRESH Mini 40ML,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVA DEO SPRAY SWEET 125ML,24.0,21.0,6.0,3.0,3.0,6.0,6.0,6.0,6.0,3.0,0.0,0
EVA DEO SPRAY URBANE 150ML,0.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0
EVA DEO SPRAY WILD 125ML,1527.0,12.0,21.0,603.0,600.0,0.0,3.0,1212.0,18.0,0.0,3.0,0
EVA DEO SPRAY WILD Mini 40ML,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVA DEO TALC FRESH 100GMS,58.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
EVA DEO TALC FRESH 400GMS,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVA DEO TALC SWEET 100GMS,58.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
EVA DEO TALC SWEET 400GMS,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EVA SHINE DEO ROLL ON 50ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,48.0,0
EVA SOFT DEO ROLL ON 50ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,54.0,0
EVA SPLASH DEO ROLL ON 50ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,51.0,0
